"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2014-01;50,049999;50,070000;49,770000;49,810001;700,000000;44,256840
2014-02;49,849998;50,849998;49,849998;50,849998;6600,000000;45,225410
2014-03;50,849998;51,340000;50,480000;50,900002;2100,000000;45,403687
2014-04;50,939999;51,360001;49,759998;50,950001;1100,000000;45,573387
2014-05;50,900002;52,500000;50,770000;52,290001;2100,000000;46,899178
2014-06;51,860001;52,259998;51,110001;52,259998;1500,000000;47,034271
2014-07;52,259998;52,599998;51,500000;51,500000;2100,000000;46,503300
2014-08;51,349998;51,919998;50,930000;51,900002;1200,000000;47,008644
2014-09;51,849998;51,849998;50,000000;50,000000;2900,000000;45,422897
2014-10;50,279999;51,340000;46,730000;51,080002;800,000000;46,571793
2014-11;51,029999;51,599998;49,980000;50,220001;1500,000000;46,015862
2014-12;50,270000;51,360001;48,139999;48,980000;6700,000000;45,678852
2015-01;48,500000;50,000000;48,180000;49,020000;1700,000000;45,874733
2015-02;48,950001;51,900002;48,950001;50,139999;4000,000000;47,081772
2015-03;50,270000;50,360001;48,709999;49,599998;1600,000000;46,733986
2015-04;49,900002;50,799999;49,240002;50,250000;4300,000000;47,346428
2015-05;50,290001;50,349998;49,400002;49,860001;1200,000000;47,148323
2015-06;49,490002;49,799999;48,060001;49,139999;5000,000000;46,648731
2015-07;48,959999;50,799999;48,160000;48,480000;3400,000000;46,203648
2015-08;48,480000;50,799999;47,310001;47,459999;4200,000000;45,431511
2015-09;47,470001;48,209999;46,470001;46,709999;6400,000000;44,942474
2015-10;46,580002;48,930000;46,580002;48,459999;2400,000000;46,626255
2015-11;48,250000;50,240002;47,160000;47,320000;2100,000000;45,756004
2015-12;47,070000;47,400002;45,750000;45,830002;5600,000000;44,814640
2016-01;45,759998;46,419998;44,930000;45,650002;2000,000000;44,638626
2016-02;45,650002;45,770000;43,400002;45,660000;1700,000000;44,815296
2016-03;45,700001;47,299999;45,490002;46,790001;2600,000000;45,924393
2016-04;46,619999;48,270000;46,619999;48,240002;4200,000000;47,347569
2016-05;47,830002;48,259998;47,369999;48,070000;3600,000000;47,337719
2016-06;47,799999;49,000000;47,689999;49,000000;1300,000000;48,364227
2016-07;48,250000;50,049999;48,250000;49,680000;7900,000000;49,196045
2016-08;49,849998;50,939999;49,320000;50,480000;3500,000000;50,170021
2016-09;50,590000;50,869999;49,520000;50,630001;4100,000000;50,319103
2016-10;50,470001;50,669998;48,299999;50,169998;3400,000000;50,019997
2016-11;49,950001;50,599998;48,340000;49,250000;5100,000000;49,250000
2016-12;49,049999;49,630001;48,790001;49,340000;2400,000000;49,340000
