"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2015-04;24,493999;24,579000;24,129999;24,188000;14600,000000;24,147141
2015-05;24,700001;25,200001;22,559999;23,100000;134100,000000;23,060978
2015-06;22,920000;23,740000;21,650000;22,389999;66600,000000;22,352177
2015-07;22,750000;24,480000;21,656000;23,559999;52100,000000;23,520201
2015-08;23,760000;25,200001;15,230000;22,799999;103800,000000;22,761484
2015-09;22,410000;25,059999;22,370001;23,209999;29300,000000;23,170792
2015-10;23,240000;26,000000;22,750000;25,660000;40200,000000;25,616653
2015-11;25,760000;26,059999;24,530001;24,660000;35700,000000;24,618343
2015-12;24,760000;26,723000;24,350000;24,920000;48900,000000;24,920000
2016-01;24,469999;24,469999;21,000000;22,320000;56700,000000;22,320000
2016-02;22,340000;24,420000;20,459999;24,150000;46700,000000;24,150000
2016-03;24,240000;25,716000;23,870001;25,360001;42900,000000;25,360001
2016-04;25,200001;26,139999;23,549999;23,690001;30300,000000;23,690001
2016-05;23,750000;23,980000;22,540001;23,000000;38800,000000;23,000000
2016-06;22,900000;23,520000;19,600000;21,160000;44600,000000;21,160000
2016-07;21,020000;23,549999;20,334999;22,530001;48100,000000;22,530001
2016-08;22,400000;22,840000;21,520000;22,540001;30400,000000;22,540001
2016-09;22,690001;23,799999;22,070000;23,020000;25300,000000;23,020000
2016-10;22,860001;24,549999;22,799999;24,000000;27300,000000;24,000000
2016-11;24,080000;27,520000;23,733999;27,110001;59100,000000;27,110001
2016-12;26,879999;27,680000;26,770000;27,639999;81500,000000;27,639999
